GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
efinal-julisa-lapa,app,Main,12,0,0,0,4,0,3,0,3,0
efinal-julisa-lapa,user,User,43,0,0,0,18,0,9,0,9,0
